AdUnitKeywordTable(unitId=1, keyword=年轻人)
AdUnitKeywordTable(unitId=1, keyword=宝马)
AdUnitKeywordTable(unitId=2, keyword=中年人)
AdUnitKeywordTable(unitId=2, keyword=宝马)
AdUnitKeywordTable(unitId=2, keyword=买车)
AdUnitKeywordTable(unitId=3, keyword=IT)
AdUnitKeywordTable(unitId=3, keyword=互联网)
AdUnitKeywordTable(unitId=3, keyword=宝马)
AdUnitKeywordTable(unitId=3, keyword=BAT)
AdUnitKeywordTable(unitId=3, keyword=买车)
AdUnitKeywordTable(unitId=4, keyword=金融)
AdUnitKeywordTable(unitId=4, keyword=银行)
AdUnitKeywordTable(unitId=4, keyword=宝马)
AdUnitKeywordTable(unitId=4, keyword=证券)
AdUnitKeywordTable(unitId=4, keyword=买车)
AdUnitKeywordTable(unitId=5, keyword=金融)
AdUnitKeywordTable(unitId=5, keyword=银行)
AdUnitKeywordTable(unitId=5, keyword=宝马)
AdUnitKeywordTable(unitId=5, keyword=证券)
AdUnitKeywordTable(unitId=5, keyword=买车)
AdUnitKeywordTable(unitId=6, keyword=IT)
AdUnitKeywordTable(unitId=6, keyword=互联网)
AdUnitKeywordTable(unitId=6, keyword=宝马X6)
AdUnitKeywordTable(unitId=6, keyword=买车)
