AdUnitInterestTable(unitId=1, itTag=车)
AdUnitInterestTable(unitId=1, itTag=游戏)
AdUnitInterestTable(unitId=1, itTag=股票)
AdUnitInterestTable(unitId=2, itTag=车)
AdUnitInterestTable(unitId=2, itTag=游戏)
AdUnitInterestTable(unitId=2, itTag=股票)
AdUnitInterestTable(unitId=3, itTag=车)
AdUnitInterestTable(unitId=3, itTag=游戏)
AdUnitInterestTable(unitId=3, itTag=股票)
AdUnitInterestTable(unitId=3, itTag=计算机)
AdUnitInterestTable(unitId=3, itTag=人工智能)
AdUnitInterestTable(unitId=4, itTag=车)
AdUnitInterestTable(unitId=4, itTag=游戏)
AdUnitInterestTable(unitId=4, itTag=股票)
AdUnitInterestTable(unitId=4, itTag=计算机)
AdUnitInterestTable(unitId=4, itTag=人工智能)
AdUnitInterestTable(unitId=5, itTag=车)
AdUnitInterestTable(unitId=5, itTag=游戏)
AdUnitInterestTable(unitId=5, itTag=股票)
AdUnitInterestTable(unitId=5, itTag=计算机)
AdUnitInterestTable(unitId=5, itTag=人工智能)
